"x","y","planet_name"
-4094846174.96557,-1740701844.30546,"neptune"
-3943437981.27511,-2064443962.69918,"neptune"
-3766785491.61341,-2375134001.67044,"neptune"
-3566005559.897,-2670807678.7598,"neptune"
-3342367581.49945,-2949595649.78246,"neptune"
-3097285467.72504,-3209735327.4241,"neptune"
-2832308706.60628,-3449582024.88532,"neptune"
-2549112566.54171,-3667619354.1212,"neptune"
-2249487504.70963,-3862468812.93469,"neptune"
-1935327847.22142,-4032898500.31137,"neptune"
-1608619812.58189,-4177830904.8943,"neptune"
-1271428954.17641,-4296349717.35773,"neptune"
-925887101.177385,-4387705623.60969,"neptune"
-574178880.43378,-4451321042.19695,"neptune"
-218527904.55685,-4486793775.96089,"neptune"
138817286.474751,-4493899554.85748,"neptune"
495597441.308672,-4472593453.86469,"neptune"
849556880.93333,-4423010177.01294,"neptune"
1198457759.80688,-4345463205.74283,"neptune"
1540094214.23726,-4240442816.97458,"neptune"
1872306308.56266,-4108612983.41947,"neptune"
2192993690.96022,-3950807175.73056,"neptune"
2500128872.54652,-3768023093.03289,"neptune"
2791770045.81507,-3561416355.14837,"neptune"
3066073361.36857,-3332293196.39522,"neptune"
3321304585.3285,-3082102207.154,"neptune"
3555850063.72002,-2812425175.41282,"neptune"
3768226924.512,-2524967086.19443,"neptune"
3957092452.81139,-2221545342.09194,"neptune"
4121252579.93915,-1904078273.06444,"neptune"
4259669432.71683,-1574573008.13738,"neptune"
4371467895.23501,-1235112785.68665,"neptune"
4455941141.61785,-887843782.534797,"neptune"
4512555104.80379,-534961545.130154,"neptune"
4540951853.08956,-178697108.595302,"neptune"
4540951853.08956,178697108.595304,"neptune"
4512555104.80379,534961545.130156,"neptune"
4455941141.61785,887843782.534799,"neptune"
4371467895.23501,1235112785.68665,"neptune"
4259669432.71683,1574573008.13738,"neptune"
4121252579.93915,1904078273.06444,"neptune"
3957092452.81139,2221545342.09194,"neptune"
3768226924.51199,2524967086.19444,"neptune"
3555850063.72002,2812425175.41282,"neptune"
3321304585.3285,3082102207.154,"neptune"
3066073361.36857,3332293196.39522,"neptune"
2791770045.81507,3561416355.14838,"neptune"
2500128872.54652,3768023093.03289,"neptune"
2192993690.96022,3950807175.73056,"neptune"
1872306308.56265,4108612983.41947,"neptune"
1540094214.23726,4240442816.97458,"neptune"
1198457759.80688,4345463205.74283,"neptune"
849556880.933328,4423010177.01294,"neptune"
495597441.308669,4472593453.86469,"neptune"
138817286.474751,4493899554.85748,"neptune"
-218527904.556851,4486793775.96089,"neptune"
-574178880.433783,4451321042.19695,"neptune"
-925887101.177389,4387705623.60969,"neptune"
-1271428954.17641,4296349717.35773,"neptune"
-1608619812.58189,4177830904.8943,"neptune"
-1935327847.22142,4032898500.31137,"neptune"
-2249487504.70963,3862468812.93469,"neptune"
-2549112566.54171,3667619354.1212,"neptune"
-2832308706.60629,3449582024.88532,"neptune"
-3097285467.72504,3209735327.4241,"neptune"
-3342367581.49945,2949595649.78246,"neptune"
-3566005559.89701,2670807678.7598,"neptune"
-3766785491.61341,2375134001.67044,"neptune"
-3943437981.27511,2064443962.69918,"neptune"
-4094846174.96557,1740701844.30546,"neptune"
-4220052821.33529,1405954448.39721,"neptune"
-4318266323.65305,1062318155.79018,"neptune"
